cid	lang	wid	lemma	comment	iids	examples	is_basic	scenes	bunrui
2258	ar	2427	وَضْعٌ	［名詞］状況、状態أَوْضَاعٌ√وضع\r;<p class='search_txt'>وضع,أوضاع,اوضاع</p>	123	دراسة اللغة العربية مفيدة لفهم أوضاع الشرق الأوسط.‏|アラビア語を勉強することは、中東情勢の理解のために役に立つ。	1		1.1300
None	ar	3432	مُورِيتَانِيٌّ	［形容詞］モーリタニアの；［名詞］モーリタニア人;<p class='search_txt'>موريتاني</p>			1		
78774	ar	526	اِتَّخَذَ	［他動詞］（措置など）を講じる、（決定など）を下すاِتِّخَاذٌ√أخذ\r;<p class='search_txt'>اتخذ,أخذ,اتخاذ,اخذ,متخذ</p>			1		2.3084
None	ar	732	اِعتَادَ	［自動詞］慣れ親しむاِعْتِيَادٌ（عَلَى　～に）\r√عمد;<p class='search_txt'>اعتاد,اعتياد,معتاد</p>			1		
94288	ar	21	بُطْءٌ	［名詞］遅さ√بطأ;بِبُطْءٍ　ゆっくり;<p class='search_txt'>بطء,بطأ,بطا</p>	21;542;199;3014;1394;2688;1420;2561	كلامك سريع، أرجوك، تكلم ببطء.‏|早いので、ゆっくり話してもらえませんか。;;;وأنا أريد طبق بطاطا.|私はポテトが一皿欲しいな。;;;وصلتني اليوم بطاقة من حبيبتي في الدار البيضاء.‏|今日、カサブランカの恋人からハガキが届きました。;;;وأنا أريد طبق بطاطا.‏|私はポテトが一皿欲しいです。;;;ضعي بطاقتك هنا وأدخلي رقمك السرّي. ثم حدّدي المبلغ.‏|（女性に）ここにカードを入れて，暗証番号を入れます。それから，金額を入力してください。;;;وأنا أريد طبق بطاطا‏.‏|私はポテトが一皿欲しいな。;;;ضعي بطاقتكِ هنا وأدخلي رقمكِ السرّي. ثم حدّدي المبلغ.‏|（女性に）ここにカードを入れて，暗証番号を入れます。それから，金額を入力してください。;;;وأنا أريد طبق بطاطا.‏|私はポテトが一皿欲しいです。	1	海外旅行,道	3.1913
57152	ar	33	طَرِيقٌ	［名詞］道、街道；方法（両性名詞）طُرُقٌ√طرق;\rعَنْ طَرِيقِ ~　～を経て、～を経由して;<p class='search_txt'>طريق,طرق</p>	33;2833;1435;1408	هذا طريق ضيق.‏|こりゃ狭い道だ。;;;من المحتمل أن يكون الطريق مزدحماً.‏|道が込んでいるかもしれません。;;;لو لم يكن هناك حادث في الطريق لما تأخّرت.‏|途中で事故がなかったら，遅れなかったんですけど。;;;لو لم يكن هناك حادث في الطريق لما تأخّرت.‏|途中で事故がなかったら，遅れなかったんですけど。	1	道	1.4710
36429	ar	47	عَمَلٌ	［名詞］仕事、行為、事業、作品أَعْمَالٌ√عمل;أَعْمَالٌ مَنْزَلِيَّةٌ　家事;<p class='search_txt'>عمل,أعمال,اعمال</p>	47;81;402;2507;2808;2745;2343;2321;1368;1094;772;1015;2841;2318;3121;2288;2828;2682;1482;378;2290;2345;2952;1359;2317;2491;2904;3069;3136;2426;42;2320;2684;2669	ذهب أبي إلى عمله مع أنه مريض.‏|お父さんは病気なのに仕事へ行った。;;;يقضي والدي معظم وقته في البيت بعد تقاعده عن العمل.‏|退職後、父はほとんどの時間を家の中で過ごしている。;;;عليك أن تنهي هذا العمل قبل الظهر.‏|この仕事は午前中に終わらせなければなりません。;;;في الساعة السابعة والربع أخرج إلى عملي.‏|7時15分に仕事に出かけます。;;;أيّ لغة تُستعمل في المحاضرات؟|講義では何語が使われているんですか。;;;يجب ألّا تذهبي إلى العمل اليوم.‏‎‏|（女性に）今日は仕事に行かないほうがいいですよ。;;;ما عمل أبيك؟ ... هو مهندس.‏‎‏|貴女のお父さんの仕事は何ですか。…彼はエンジニアです。;;;ما عمل أمّك؟ ... هي موظّفة في شركة.‏‎‏|貴女のお母さんの仕事は何ですか。…彼女は会社員です。;;;ونسيت أن أعمل الواجبات.‏|それで，宿題をするのを忘れました。;;;علّميني كيف أستعمل هذا الكومبيتر.‏|（女性に）このコンピューターをどうやって使うか教えて。;;;علّميني كيف أستعمل هذا الكومبيتر.|このコンピューター，どうやって使うか教えて。;;;ما عملك، يا سيّد تاكيشي؟|タケシさん，お仕事は何ですか。;;;كنت أشتغل في عمل مؤقّت عندما كنت طالباً.‏|（男性が）学生のとき，アルバイトをしていました。;;;ما عملك؟‏‎|貴女の仕事は何ですか。;;;بدأت أعمل في الإمارات عام ٢٠٠٥.‏|（私は）2,005年にUAEでの仕事を始めました。;;;ما عملك؟‏‎|貴女の仕事は何ですか。;;;لا، كنت هناك في رحلة عمل.‏|いいえ，出張で向こうにいたんです。;;;وأعمل في مطعم في نهاية الأسبوع.‏|週末はレストランで働いています。;;;علّميني كيف أستعمل هذا الكومبيتر.‏|（女性に）このコンピューターをどうやって使うか教えて。;;;نعمل من يوم الإثنين إلى يوم الجمعة.‏|私たちは月曜日から金曜日まで働きます。;;;ما عملك يا سيّد تاكيشي؟ ... أنا طالب.‏|タケシさん，お仕事は何ですか。…私は学生です。;;;ما عمل أمّك؟ ... هي موظّفة في شركة.‏‎‏|貴女のお母さんの仕事は何ですか。…彼女は会社員です。;;;كنت أشتغل في عمل مؤقّت عندما كنت طالبة.‏|（女性が）学生のとき，アルバイトをしていました。;;;لا، لم أعد أعمل هناك.‏|いいえ，もうあそこでは働いていません。;;;ما عملك يا سيّد تاكيشي؟ … أنا طالب.‏|タケシさん，お仕事は何ですか。…私は学生です。;;;بدأت أعمل في الإمارات منذ عام ٢٠٠٥.‏|（私は）2,005年からUAEでの仕事を始めました。;;;كنت أشتغل في عمل مؤقّت عندما كنت طالباً.‏|（男性が）学生のとき，アルバイトをしていました。;;;ما عملك، يا سيّد تاكيشي؟|タケシさん，お仕事は何ですか。;;;في الساعة السابعة والربع أخرج إلى عملي.‏|7時15分に仕事に出かけます。;;;ما عملك، يا سيّد تاكيشي؟ ... أنا طالب.‏|タケシさん，お仕事は何ですか。…私は学生です。;;;ابن عمي يعمل في شركة كومبيوتر.‏|私の従兄弟はコンピュータの会社で働いている。;;;ما عمل أبيك؟ ... هو مهندس.‏‎‏|貴女のお父さんの仕事は何ですか。…彼はエンジニアです。;;;أين تعملين؟ ... أعمل في "سوني".‏|貴女はどこで働いていますか。…私はソニーで働いています。;;;ونسيت أن أعمل الواجبات.‏|それで，宿題をするのを忘れました。	1	会社	1.3320
10006	ar	103	أين	どこ、F117どちら;<p class='search_txt'></p>	104;113;198;418;489	عفوا لو سمحت، أين محطة قطار الأنفاق؟‏|すみません、地下鉄の駅はどこですか。;;;أين المطعم العربي؟ ... على يسارك.‏|アラビック・レストランはどこですか。・・・右手にありますよ。 ;;;أين المخرج؟ ... المخرج من هنا على اليسار.‏|出口はどこですか。 － 出口はここから左にあります。;;;أين مطفأة السجائر؟‏|灰皿はどこだ。;;;إلى أين أنتم ذاهبون؟‏|あなたがたはどこへ行くのですか。	1	交番	1.1700
28288	ar	131	واجب دراسية (morph:pl واجبات دراسية)	(高校以上の)宿題、課題;<p class='search_txt'></p>	493	يجب أن أنجز واجباتي الدراسية.‏|課題を終わらせなければならない。	1	学校	1.3070
92207	ar	136	سهل	［形容詞］容易な；［名詞］平野سُهُولٌ√سهل;أَهْلًا وَسَهْلًا　ようこそ;<p class='search_txt'>سهل,سهول,سهل</p>	137	أظن أن الحصول على التذكرة ليس سهلا.‏|チケットを取るのは容易じゃないと思う。	1	学校	3.1346
